epoch,train_loss,train_dice,val_loss,val_dice,lat_norm2
312,0.086261,0.9439,0.395572,0.7764,2.0370
313,0.085958,0.9446,0.389473,0.7742,1.7623
314,0.080909,0.9476,0.433679,0.7637,1.7919
315,0.077490,0.9505,0.436523,0.7622,1.7671
316,0.077094,0.9504,0.407578,0.7746,1.8646
317,0.075254,0.9517,0.408068,0.7714,2.0554
318,0.076617,0.9506,0.427693,0.7728,1.7115
319,0.078635,0.9488,0.430761,0.7643,2.0321
320,0.080859,0.9473,0.408856,0.7748,1.9158
321,0.080772,0.9477,0.384977,0.7798,1.8989
322,0.076019,0.9510,0.422308,0.7681,1.6833
323,0.079329,0.9488,0.450763,0.7581,1.9442
324,0.079229,0.9484,0.398294,0.7793,1.6918
325,0.079408,0.9483,0.403125,0.7794,1.7493
326,0.078553,0.9490,0.434469,0.7679,1.8893
327,0.075579,0.9515,0.451689,0.7622,1.7201
328,0.087986,0.9437,0.450887,0.7646,1.9230
329,0.108216,0.9316,0.435039,0.7662,1.7545
330,0.122211,0.9225,0.379983,0.7805,1.9192
331,0.101079,0.9345,0.432402,0.7652,1.9796
332,0.087027,0.9437,0.459936,0.7525,2.0100
333,0.087852,0.9433,0.416865,0.7658,1.8911
334,0.099622,0.9353,0.425772,0.7696,1.7488
335,0.085749,0.9442,0.428751,0.7642,1.8250
336,0.080726,0.9476,0.395657,0.7794,1.7747
337,0.078877,0.9493,0.380886,0.7773,1.8285
338,0.086294,0.9444,0.511832,0.7471,1.9693
339,0.080983,0.9475,0.491053,0.7534,1.7567
340,0.084993,0.9454,0.504432,0.7522,1.9546
341,0.084974,0.9445,0.454712,0.7558,1.7516
342,0.092348,0.9405,0.421576,0.7671,1.8970
343,0.084796,0.9450,0.412149,0.7673,1.7452
344,0.082960,0.9461,0.422734,0.7678,1.8578
345,0.079003,0.9488,0.378431,0.7866,1.9440
346,0.079722,0.9488,0.419899,0.7710,2.1296
347,0.090723,0.9410,0.459126,0.7574,1.8617
348,0.107095,0.9319,0.378823,0.7819,1.7441
349,0.109339,0.9295,0.485180,0.7510,1.6674
350,0.100968,0.9343,0.457068,0.7594,1.7832
351,0.105349,0.9325,0.387362,0.7750,1.7433
352,0.121880,0.9231,0.355192,0.7866,1.7742
353,0.101781,0.9335,0.383798,0.7761,1.8579
354,0.093891,0.9381,0.362880,0.7847,1.7222
355,0.083234,0.9461,0.366542,0.7833,1.9212
356,0.087906,0.9433,0.391647,0.7713,1.9033
357,0.084777,0.9451,0.436645,0.7603,1.7882
358,0.086406,0.9440,0.402369,0.7732,1.8105
359,0.078274,0.9494,0.426241,0.7654,1.5679
360,0.087750,0.9436,0.471578,0.7522,1.7046
361,0.090153,0.9421,0.403438,0.7706,1.8650
362,0.086609,0.9442,0.400257,0.7716,1.7218
363,0.100653,0.9353,0.378346,0.7815,1.8581
364,0.106285,0.9306,0.454413,0.7555,1.6917
365,0.086065,0.9433,0.398222,0.7717,1.7920
366,0.079003,0.9488,0.435057,0.7597,1.9540
367,0.078427,0.9491,0.421592,0.7677,1.8493
368,0.081034,0.9470,0.443672,0.7638,1.8421
369,0.094724,0.9388,0.545202,0.7431,1.6582
370,0.085987,0.9444,0.509043,0.7441,2.1052
371,0.099829,0.9354,0.462511,0.7563,1.8268
372,0.093191,0.9389,0.473234,0.7551,1.9661
373,0.085627,0.9443,0.426093,0.7685,1.9247
374,0.085256,0.9445,0.394985,0.7736,1.8056
375,0.093043,0.9395,0.358063,0.7906,1.8316
376,0.085777,0.9444,0.421190,0.7692,1.5603
377,0.088361,0.9425,0.417520,0.7653,1.6810
378,0.111864,0.9283,0.622854,0.7134,1.6422
379,0.102220,0.9336,0.471368,0.7578,1.7885
380,0.084680,0.9452,0.510261,0.7367,1.9325
381,0.078887,0.9490,0.387192,0.7768,1.5899
382,0.075744,0.9510,0.423370,0.7672,1.7478
383,0.073525,0.9524,0.416106,0.7691,1.8508
384,0.075416,0.9515,0.466978,0.7580,1.7126
385,0.073801,0.9527,0.410050,0.7692,1.6192
386,0.080030,0.9485,0.446236,0.7646,2.0755
387,0.084262,0.9456,0.472779,0.7555,1.7645
388,0.084688,0.9458,0.455920,0.7607,1.8819
389,0.079296,0.9491,0.427067,0.7676,1.8022
390,0.080491,0.9484,0.411091,0.7738,2.0250
391,0.082785,0.9464,0.540932,0.7366,1.8528
392,0.075818,0.9510,0.422906,0.7696,1.8661
393,0.075817,0.9510,0.567118,0.7335,1.6751
394,0.083872,0.9460,0.422405,0.7697,1.8849
395,0.077677,0.9498,0.415702,0.7724,1.6946
396,0.090424,0.9415,0.467349,0.7602,1.8445
397,0.088833,0.9428,0.659663,0.7126,1.9804
398,0.089148,0.9427,0.443960,0.7647,1.9794
399,0.085135,0.9450,0.479397,0.7491,1.7901
400,0.082216,0.9467,0.437350,0.7587,1.6051
401,0.076966,0.9499,0.440089,0.7676,2.0558
402,0.074225,0.9520,0.427502,0.7681,1.7744
403,0.070650,0.9545,0.453548,0.7655,1.8771
404,0.075375,0.9515,0.444623,0.7629,1.7450
405,0.074515,0.9521,0.502515,0.7483,1.7168
406,0.076395,0.9504,0.465608,0.7600,1.7656
407,0.080461,0.9474,0.448585,0.7606,1.9037
408,0.074349,0.9517,0.469190,0.7579,1.6817
409,0.072363,0.9533,0.472678,0.7552,1.9484
410,0.073573,0.9524,0.505043,0.7496,1.8829
411,0.077115,0.9498,0.448233,0.7623,1.7738
412,0.087461,0.9428,0.564473,0.7412,1.6779
413,0.128686,0.9187,0.456759,0.7592,2.0975
414,0.111608,0.9276,0.388354,0.7748,1.7873
415,0.093121,0.9398,0.404532,0.7712,1.9770
416,0.077870,0.9494,0.402472,0.7725,1.6668
417,0.077825,0.9493,0.475544,0.7581,1.8565
418,0.069537,0.9553,0.500391,0.7451,1.9094
419,0.074799,0.9517,0.438224,0.7605,2.2102
420,0.075664,0.9512,0.391739,0.7798,1.7613
421,0.078412,0.9491,0.454683,0.7646,1.5906
422,0.077034,0.9499,0.395475,0.7809,2.1077
423,0.083701,0.9455,0.403913,0.7770,1.8880
424,0.077319,0.9495,0.422899,0.7663,2.0087
425,0.087205,0.9438,0.413993,0.7721,1.8586
426,0.083641,0.9458,0.394967,0.7799,1.8277
427,0.079727,0.9488,0.505259,0.7511,1.8560
428,0.073882,0.9520,0.473647,0.7570,1.9516
429,0.073999,0.9519,0.470009,0.7605,1.8583
430,0.078944,0.9492,0.410261,0.7708,1.8327
431,0.080843,0.9474,0.441971,0.7667,1.7739
432,0.080652,0.9480,0.519473,0.7428,1.7948
433,0.100278,0.9360,0.494719,0.7520,1.7709
434,0.093977,0.9390,0.474563,0.7573,2.0429
435,0.085262,0.9440,0.504669,0.7466,1.5615
436,0.083769,0.9456,0.446536,0.7628,1.7889
437,0.084721,0.9451,0.551359,0.7359,1.9715
438,0.097067,0.9371,0.486534,0.7524,1.7996
439,0.093021,0.9380,0.409446,0.7738,1.8339
440,0.087188,0.9438,0.458103,0.7554,1.7934
441,0.082340,0.9468,0.416762,0.7677,1.9073
442,0.094618,0.9391,0.449561,0.7589,1.8954
443,0.088593,0.9427,0.406616,0.7722,1.7730
444,0.082516,0.9457,0.434432,0.7655,2.0265
445,0.084737,0.9452,0.418856,0.7674,1.7211
446,0.111593,0.9302,0.445239,0.7604,1.7910
447,0.108671,0.9296,0.517872,0.7458,1.7960
448,0.096337,0.9376,0.374510,0.7814,1.9078
449,0.079216,0.9489,0.415982,0.7670,1.8397
450,0.072467,0.9534,0.455424,0.7578,1.8059
451,0.069771,0.9554,0.465468,0.7584,1.7348
452,0.070468,0.9550,0.520682,0.7465,1.7781
453,0.071232,0.9543,0.446671,0.7610,1.6051
454,0.068527,0.9560,0.414605,0.7724,1.7586
455,0.070319,0.9552,0.436649,0.7660,1.7982
